contractor,month,row,level,block,waste,CF2,CF3,cr-cf2,cr-cf3,cr-oxid,cr-sum,CF3-LP,OXID,ton,sum
700,3,24,1300,E14569-1300M,133,0,0,0,0,0,0,0,0,13300,133
700,3,25,1285,E14587-1285,1041,0,0,0,0,0,0,0,0,104100,1041
700,3,26,1150,E14584-1150,210,0,0,0,0,0,0,0,0,21000,210
700,3,27,1180,E14590-1180,656,13,3,0,10,0,10,0,0,68590,682
700,3,28,1300,E14583-1300,356,0,0,0,0,0,0,0,0,35600,356
700,3,29,1300,E14577-1300,321,0,0,0,0,0,0,0,0,32100,321
700,3,30,1135,EL777-1135M,7,0,111,0,15,0,15,0,0,15190,133
700,3,31,1135,EL779-1135M,0,13,173,25,0,0,25,0,0,24265,211
700,3,32,1165,EL780-1165,27,25,0,31,0,0,31,0,0,9140,83
700,3,33,1300,E14586-1300T,287,93,0,40,0,0,40,0,0,43995,420
700,3,34,1135,EL782-1135,0,0,39,6,133,0,139,0,0,20470,178
700,3,35,1195,E14627-1195T,52,13,9,5,11,0,16,0,0,9570,90
700,3,36,1165,E14628-1165M,35,10,26,12,150,0,162,0,0,26270,233
700,3,37,1135,EL784-1135M,0,0,57,0,133,0,133,0,0,21850,190
700,3,38,1135,EL785-1135,4,5,14,24,96,0,120,0,0,16385,143
700,3,39,1180,EL781-1180T,0,6,5,1,126,0,127,0,0,15870,138
700,3,40,1300,E14588-1300T,65,0,0,0,0,0,0,0,0,6500,65
700,3,41,1285,E13944-1285,92,105,0,0,0,0,0,0,0,21275,197
700,3,42,1135,EL786-1135,13,23,56,0,0,0,0,0,0,10385,92
700,4,1,1285,other-1285,6,0,0,0,0,0,0,0,0,600,6
700,4,2,1450,West-Dump,105,0,0,0,0,0,0,0,0,10500,105
700,4,3,1165,other-1165,148,72,8,0,4,0,4,0,0,24460,232
700,4,4,1150,Other-1150,15,0,0,0,0,0,0,0,0,1500,15
700,4,5,1180,E14497-1180,5,0,20,0,0,0,0,0,0,2800,25
700,4,6,1165,E14522-1165T,115,0,0,0,0,0,0,0,0,11500,115
700,4,7,1300,E14569-1300M,339,0,0,0,0,0,0,0,0,33900,339
700,4,8,1150,E14584-1150,240,23,13,4,0,0,4,0,0,28600,280
700,4,9,1300,E14577-1300,160,0,0,0,0,0,0,0,0,16000,160
700,4,10,1300,E14586-1300T,225,26,0,0,0,0,0,0,0,25490,251
700,4,11,1165,E14628-1165M,121,42,0,0,0,0,0,0,0,16930,163
700,4,12,1300,E14588-1300T,124,0,0,0,0,0,0,0,0,12400,124
700,4,13,1135,EL786-1135,39,16,27,1,0,0,1,0,0,8960,83
700,4,14,1285,E13943-1285,122,58,0,0,0,0,0,0,0,18870,180
700,4,15,1300,E14489-1300,371,0,0,0,0,0,0,0,0,37100,371
700,4,16,1165,E14663-1165,277,117,99,5,0,0,5,0,0,53105,498
700,4,17,1285,E14662-1285T,134,0,0,0,0,0,0,0,0,13400,134
700,4,18,1165,E14635-1165M,105,118,89,4,176,0,180,0,0,54965,492
700,4,19,1135,EL787-1135M,135,148,10,75,8,0,83,0,0,41215,376
700,4,20,1165,E14674-1165M,15,108,164,15,130,0,145,0,0,49455,432
700,4,21,1300,E14631-1300T,237,153,32,21,113,0,134,0,0,60385,556
700,4,22,1135,EL788-1135M,92,203,104,1,43,0,44,0,0,49565,443
700,4,23,1165,E14675-1165M,51,94,82,28,219,0,247,0,0,53745,474
700,4,24,1165,E14673-1165M,11,79,176,14,255,0,269,0,0,61360,535
700,4,25,1285,E14696-1285T,533,239,0,28,1,0,29,0,0,84120,801
700,4,26,1165,E14686-1165M,0,0,88,0,214,0,214,0,0,34730,302
700,4,27,1135,EL790-1135M,162,59,22,31,12,0,43,0,0,30460,286
700,4,28,1285,E14698-1285,361,13,1,0,0,0,0,0,0,37710,375
700,4,29,1165,E14701-1165,4,41,52,0,225,0,225,0,0,36970,322
700,4,30,1165,E14643-1165M,232,244,100,149,182,0,331,0,0,100825,907
